primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Healthy Habits,65,178,Medium Build,Head region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 14
Weight Loss,60,160,Stocky,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 12
Get in Shape,53,154,Medium Build,None,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 15
Weight Loss,52,194,Slim,None,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 4
Get in Shape,72,168,Stocky,Foot region,Toned,Easily Gain and Lose,Less than 1 year,Retired,Standing All Day,Program 5
Weight Loss,89,173,Medium Build,Arm region,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 19
Healthy Habits,92,167,Stocky,Leg region,Muscular,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 14
Healthy Habits,52,153,Obese,Chest region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 20
Get in Shape,118,199,Slim,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 3
Weight Loss,54,166,Stocky,Head region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 12
Weight Loss,58,152,Slim,Arm region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 12
Weight Loss,61,181,Stocky,Foot region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Active Breaks,Program 19
Healthy Habits,68,194,Medium Build,Foot region,Toned,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 14
Weight Loss,84,165,Obese,Foot region,Toned,Struggle to Build Muscle,Never,Night Shift,Standing All Day,Program 12
Healthy Habits,103,161,Obese,Arm region,Toned,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 5
Get in Shape,77,198,Slim,Arm region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 3
Healthy Habits,56,189,Slim,None,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 5
Get in Shape,94,151,Obese,Leg region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Get in Shape,75,158,Obese,Head region,Muscular,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 20
Get in Shape,57,181,Slim,None,Toned,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 5
Weight Loss,98,188,Medium Build,None,Athletic,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 19
Get in Shape,58,176,Slim,Head region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 3
Healthy Habits,98,163,Obese,Leg region,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 5
Get in Shape,110,197,Medium Build,Foot region,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 3
Healthy Habits,77,177,Slim,None,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 14
Get in Shape,113,181,Obese,Leg region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Active Breaks,Program 5
Weight Loss,77,190,Slim,None,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 4
Healthy Habits,89,169,Slim,None,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 20
Get in Shape,107,154,Slim,Foot region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 5
Weight Loss,73,193,Obese,None,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 4
Get in Shape,63,161,Slim,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Healthy Habits,116,174,Medium Build,None,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 20
Weight Loss,61,200,Medium Build,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 19
Weight Loss,65,194,Medium Build,Chest region,Toned,Struggle to Build Muscle,1-2 years,Night Shift,Standing All Day,Program 4
Weight Loss,51,158,Obese,Head region,Athletic,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 19
Healthy Habits,98,156,Obese,Leg region,Toned,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 14
Weight Loss,68,171,Obese,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 19
Weight Loss,97,157,Obese,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Standing All Day,Program 4
Weight Loss,89,153,Obese,Leg region,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Active Breaks,Program 4
Get in Shape,120,183,Obese,Foot region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 3
Get in Shape,120,167,Medium Build,Leg region,Toned,Struggle to Build Muscle,Less than 1 year,Night Shift,Sitting Most of Day,Program 15
Get in Shape,90,160,Obese,None,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 3
Healthy Habits,83,151,Stocky,Leg region,Toned,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 5
Get in Shape,51,196,Stocky,Head region,Athletic,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 5
Get in Shape,89,184,Medium Build,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 15
Healthy Habits,66,198,Stocky,Arm region,Athletic,Struggle to Build Muscle,Never,Flexible,Standing All Day,Program 14
Get in Shape,84,189,Medium Build,Arm region,Drop Sizes,Struggle to Build Muscle,Never,9 to 5,Sitting Most of Day,Program 15
Weight Loss,81,175,Obese,None,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 4
Get in Shape,61,163,Slim,Chest region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 3
Weight Loss,90,160,Stocky,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,Night Shift,Active Breaks,Program 19
Get in Shape,64,197,Medium Build,Chest region,Muscular,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 15
Healthy Habits,63,190,Obese,Chest region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Standing All Day,Program 14
Healthy Habits,82,181,Medium Build,Foot region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Weight Loss,118,176,Medium Build,Leg region,Toned,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 19
Get in Shape,56,156,Obese,None,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 15
Get in Shape,94,169,Medium Build,Head region,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 3
Weight Loss,98,151,Stocky,Head region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 12
Get in Shape,88,171,Stocky,Chest region,Athletic,Easily Gain and Lose,Never,Retired,Active Breaks,Program 5
Get in Shape,53,159,Obese,Arm region,Toned,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 3
Healthy Habits,57,160,Stocky,Chest region,Muscular,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 14
Weight Loss,90,177,Medium Build,Chest region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 19
Get in Shape,109,192,Medium Build,None,Toned,Easily Gain and Lose,More than 3 years,Flexible,Active Breaks,Program 3
Get in Shape,95,175,Obese,Arm region,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Active Breaks,Program 15
Weight Loss,103,184,Slim,Foot region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 12
Healthy Habits,96,158,Slim,None,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 14
Healthy Habits,71,173,Slim,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Flexible,Standing All Day,Program 14
Get in Shape,69,188,Stocky,Foot region,Athletic,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 15
Healthy Habits,56,194,Obese,None,Athletic,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 14
Weight Loss,103,193,Stocky,Head region,Toned,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 4
Healthy Habits,106,154,Obese,Arm region,Muscular,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 5
Get in Shape,117,193,Medium Build,Foot region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Weight Loss,106,181,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Retired,Sitting Most of Day,Program 12
Get in Shape,64,195,Medium Build,None,Toned,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 5
Weight Loss,76,180,Medium Build,Chest region,Muscular,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 4
Get in Shape,109,188,Obese,Foot region,Athletic,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,64,171,Obese,Foot region,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 15
Weight Loss,73,154,Slim,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Standing All Day,Program 19
Weight Loss,81,198,Medium Build,Foot region,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Sitting Most of Day,Program 12
Get in Shape,54,158,Obese,Foot region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 5
Get in Shape,56,182,Obese,Foot region,Toned,Gain Easily Struggle to Lose,More than 3 years,Flexible,Active Breaks,Program 3
Healthy Habits,80,165,Stocky,Arm region,Muscular,Gain Easily Struggle to Lose,1-2 years,Flexible,Standing All Day,Program 14
Healthy Habits,81,197,Stocky,Foot region,Toned,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,68,192,Slim,Foot region,Athletic,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 20
Weight Loss,74,152,Obese,Head region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 12
Healthy Habits,58,195,Slim,Foot region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Night Shift,Active Breaks,Program 14
Get in Shape,106,152,Stocky,Leg region,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 3
Weight Loss,86,184,Stocky,Leg region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 4
Healthy Habits,79,180,Stocky,None,Toned,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 20
Weight Loss,58,182,Stocky,Chest region,Muscular,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 19
Weight Loss,58,176,Obese,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Retired,Sitting Most of Day,Program 4
Get in Shape,101,194,Obese,Head region,Athletic,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Weight Loss,70,193,Medium Build,Foot region,Drop Sizes,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 12
Get in Shape,109,178,Medium Build,Arm region,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 5
Get in Shape,106,168,Slim,None,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 5
Weight Loss,76,198,Stocky,Arm region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 19
Weight Loss,120,181,Obese,None,Toned,Gain Easily Struggle to Lose,1-2 years,9 to 5,Active Breaks,Program 19
Get in Shape,57,198,Obese,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 5
Healthy Habits,107,157,Obese,Head region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 5
Get in Shape,75,152,Stocky,Leg region,Muscular,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 3
Get in Shape,51,155,Stocky,None,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Active Breaks,Program 15
Weight Loss,61,192,Slim,Arm region,Drop Sizes,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 4
Healthy Habits,81,160,Obese,Foot region,Toned,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 20
Get in Shape,85,151,Obese,None,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Active Breaks,Program 5
Weight Loss,90,197,Medium Build,Leg region,Toned,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 19
Get in Shape,117,181,Obese,Foot region,Muscular,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,114,155,Obese,Head region,Toned,Gain Easily Struggle to Lose,More than 3 years,Retired,Standing All Day,Program 5
Get in Shape,70,174,Slim,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 3
Weight Loss,66,152,Obese,Leg region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Active Breaks,Program 19
Healthy Habits,97,168,Obese,None,Athletic,Gain Easily Struggle to Lose,More than 3 years,Retired,Standing All Day,Program 5
Healthy Habits,97,153,Obese,Chest region,Toned,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 20
Get in Shape,54,174,Slim,Leg region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Retired,Sitting Most of Day,Program 5
Healthy Habits,114,193,Obese,Head region,Toned,Struggle to Build Muscle,More than 3 years,Retired,Sitting Most of Day,Program 5
Weight Loss,81,151,Obese,Foot region,Athletic,Easily Gain and Lose,More than 3 years,Flexible,Sitting Most of Day,Program 19
Healthy Habits,107,168,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 5
Weight Loss,59,176,Stocky,None,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 4
Get in Shape,72,180,Medium Build,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Healthy Habits,57,169,Medium Build,Head region,Athletic,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 5
Weight Loss,75,160,Obese,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 4
Get in Shape,118,192,Obese,Chest region,Athletic,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 5
Healthy Habits,118,178,Obese,None,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 5
Healthy Habits,110,173,Obese,Leg region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 5
Healthy Habits,60,154,Medium Build,Head region,Athletic,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 20
Weight Loss,66,200,Slim,Leg region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 19
Get in Shape,69,164,Medium Build,None,Muscular,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 3
Weight Loss,88,158,Obese,Head region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,9 to 5,Active Breaks,Program 19
Weight Loss,84,153,Obese,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 19
Get in Shape,94,194,Medium Build,Foot region,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Standing All Day,Program 5
Healthy Habits,91,150,Obese,Head region,Athletic,Easily Gain and Lose,More than 3 years,Retired,Sitting Most of Day,Program 20
Get in Shape,114,191,Obese,Leg region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 5
Healthy Habits,90,191,Medium Build,Chest region,Muscular,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 20
Get in Shape,116,189,Obese,Foot region,Athletic,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 3
Get in Shape,63,184,Slim,Leg region,Muscular,Easily Gain and Lose,Less than 1 year,Retired,Active Breaks,Program 15
Get in Shape,65,175,Medium Build,Head region,Drop Sizes,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 3
Healthy Habits,53,150,Medium Build,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 14
Weight Loss,117,186,Obese,Foot region,Muscular,Gain Easily Struggle to Lose,More than 3 years,Retired,Sitting Most of Day,Program 19
Weight Loss,77,157,Obese,Chest region,Muscular,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 19
Weight Loss,96,186,Medium Build,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Active Breaks,Program 12
Healthy Habits,89,170,Medium Build,Chest region,Toned,Struggle to Build Muscle,1-2 years,Flexible,Sitting Most of Day,Program 5
Healthy Habits,120,157,Obese,Chest region,Athletic,Easily Gain and Lose,Less than 1 year,Night Shift,Active Breaks,Program 14
Weight Loss,100,165,Obese,Leg region,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 12
Get in Shape,85,166,Medium Build,Arm region,Muscular,Easily Gain and Lose,Less than 1 year,Retired,Standing All Day,Program 15
Get in Shape,116,187,Obese,None,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 5
Weight Loss,51,162,Medium Build,None,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Active Breaks,Program 19
Weight Loss,68,177,Medium Build,Foot region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 4
Get in Shape,66,176,Slim,Foot region,Toned,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 5
Weight Loss,101,152,Obese,Head region,Toned,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 19
Healthy Habits,64,151,Medium Build,Leg region,Muscular,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 5
Healthy Habits,61,157,Medium Build,Leg region,Muscular,Easily Gain and Lose,Never,Retired,Standing All Day,Program 5
Get in Shape,73,160,Medium Build,Leg region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 15
Weight Loss,103,200,Obese,None,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 19
Weight Loss,101,155,Obese,Foot region,Toned,Struggle to Build Muscle,More than 3 years,Night Shift,Active Breaks,Program 19
Get in Shape,78,166,Medium Build,Arm region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 15
Get in Shape,65,191,Stocky,Arm region,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 3
Get in Shape,104,187,Medium Build,None,Drop Sizes,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 3
Weight Loss,101,193,Medium Build,Leg region,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Active Breaks,Program 19
Healthy Habits,113,154,Obese,Chest region,Athletic,Struggle to Build Muscle,More than 3 years,Flexible,Active Breaks,Program 14
Get in Shape,97,160,Obese,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 3
Weight Loss,74,191,Stocky,Arm region,Athletic,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 4
Get in Shape,81,174,Medium Build,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Retired,Standing All Day,Program 3
Healthy Habits,110,170,Obese,Chest region,Toned,Easily Gain and Lose,More than 3 years,Retired,Active Breaks,Program 20
Healthy Habits,116,171,Obese,None,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 5
Get in Shape,54,162,Slim,Arm region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Weight Loss,67,199,Slim,Foot region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Active Breaks,Program 19
Get in Shape,52,196,Slim,Head region,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 15
Get in Shape,109,156,Obese,Foot region,Athletic,Struggle to Build Muscle,Never,9 to 5,Sitting Most of Day,Program 15
Weight Loss,57,164,Medium Build,Foot region,Toned,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 12
Weight Loss,72,154,Obese,Chest region,Muscular,Gain Easily Struggle to Lose,Never,Retired,Active Breaks,Program 19
Weight Loss,89,179,Medium Build,Chest region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 12
Healthy Habits,76,167,Medium Build,Arm region,Toned,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 14
Healthy Habits,119,179,Medium Build,Leg region,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Active Breaks,Program 5
Weight Loss,98,180,Medium Build,Chest region,Muscular,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 4
Weight Loss,97,198,Medium Build,Chest region,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Standing All Day,Program 19
Get in Shape,104,165,Obese,None,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 15
Get in Shape,75,193,Stocky,Chest region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 3
Get in Shape,75,180,Medium Build,Foot region,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 5
Get in Shape,51,175,Slim,Arm region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 3
Weight Loss,56,196,Slim,None,Muscular,Gain Easily Struggle to Lose,More than 3 years,Retired,Sitting Most of Day,Program 12
Healthy Habits,50,152,Medium Build,None,Athletic,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 20
Get in Shape,118,171,Obese,Arm region,Toned,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 3
Get in Shape,97,197,Medium Build,Leg region,Muscular,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 15
Get in Shape,86,162,Obese,Head region,Drop Sizes,Easily Gain and Lose,More than 3 years,Flexible,Sitting Most of Day,Program 3
Weight Loss,89,182,Slim,Foot region,Toned,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 4
Get in Shape,52,180,Slim,Head region,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 5
Get in Shape,69,162,Medium Build,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 15
Healthy Habits,72,163,Medium Build,Chest region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Active Breaks,Program 20
Get in Shape,114,169,Obese,Arm region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 15
Healthy Habits,91,175,Medium Build,Head region,Toned,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 5
Healthy Habits,92,174,medium Build,Foot region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Retired,Active Breaks,Program 20
Healthy Habits,56,196,Slim,Arm region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 14
Weight Loss,109,162,Obese,None,Athletic,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 12
Healthy Habits,120,154,Obese,Foot region,Muscular,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 20
Healthy Habits,50,171,Slim,Head region,Muscular,Easily Gain and Lose,Never,Flexible,Active Breaks,Program 14
Healthy Habits,99,172,Obese,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Sitting Most of Day,Program 5
Get in Shape,114,169,Obese,Leg region,Muscular,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 3
Healthy Habits,80,165,medium Build,Head region,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,58,186,Slim,Foot region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Retired,Active Breaks,Program 20
Healthy Habits,84,194,medium Build,Foot region,Toned,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 5
Weight Loss,60,180,Slim,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Active Breaks,Program 4
Healthy Habits,57,165,medium Build,Chest region,Toned,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 5
Weight Loss,116,182,Obese,Foot region,Drop Sizes,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 19
Get in Shape,72,173,medium Build,Head region,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 3
Get in Shape,93,197,medium Build,Head region,Athletic,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 3
Get in Shape,98,198,medium Build,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 15
